,AR
2019-10-02,0.3220556115267675
2019-10-03,0.3232614081740424
2019-10-04,0.32221106665166704
2019-10-07,0.3223296543750132
2019-10-08,0.32214262779505437
2019-10-09,0.32393908540426947
2019-10-10,0.3226042658208969
2019-10-11,0.32211758741133634
2019-10-14,0.3270283668092707
2019-10-15,0.3267267211051853
2019-10-16,0.32844044637095615
2019-10-17,0.32880285110850155
2019-10-18,0.3297307849750436
2019-10-21,0.3292492713489137
2019-10-22,0.32896835390561696
2019-10-23,0.326160542891586
2019-10-24,0.32510150141978633
2019-10-25,0.3231448091216771
2019-10-28,0.32230795428769027
2019-10-29,0.32328356224739285
2019-10-30,0.32131436806144226
2019-10-31,0.3215711790429667
2019-11-01,0.3181615181773675
2019-11-04,0.3278780897028387
2019-11-05,0.3280990587751672
2019-11-06,0.3269113450642382
2019-11-07,0.3286918633611603
2019-11-08,0.32585367538094706
2019-11-11,0.3121054932279169
2019-11-12,0.3103951565651403
2019-11-13,0.30850429741280827
2019-11-14,0.30932083498749197
2019-11-15,0.307302124753211
2019-11-18,0.3069203406365973
2019-11-19,0.3062260330042514
2019-11-20,0.3043578970205412
2019-11-21,0.2999446383042652
2019-11-22,0.3000021262954379
2019-11-25,0.2997265758133358
2019-11-26,0.3026213493687681
2019-11-27,0.30222115353963575
2019-11-29,0.29979235926135067
2019-12-02,0.3007124061854851
2019-12-03,0.29322355259590044
2019-12-04,0.29247217339528775
2019-12-05,0.2936335403742384
2019-12-06,0.2927147283939535
2019-12-09,0.29504390626453336
2019-12-10,0.2948407905998437
2019-12-11,0.29350973836411987
2019-12-12,0.29137550731200784
2019-12-13,0.29202337323644456
2019-12-16,0.2928782551743716
2019-12-17,0.2907036853786822
2019-12-18,0.2911849606715922
2019-12-19,0.2903355944116236
2019-12-20,0.2901925114345069
2019-12-23,0.289194741616953
2019-12-24,0.2894891079632367
2019-12-26,0.28984822107733615
2019-12-27,0.28577460242973773
2019-12-30,0.28467081670395955
2019-12-31,0.2833126922214442
2020-01-02,0.2819548732372847
2020-01-03,0.2882321768381898
2020-01-06,0.2880796477657841
2020-01-07,0.2871100513303985
2020-01-08,0.2868109488315951
2020-01-09,0.28770255555638
2020-01-10,0.28771282779529783
2020-01-13,0.28701869375101574
2020-01-14,0.28675428312138074
2020-01-15,0.2863663399372311
2020-01-16,0.28458729841071173
2020-01-17,0.2863872198069951
2020-01-21,0.28659530290570406
2020-01-22,0.2886802761053386
2020-01-23,0.28818144333140877
2020-01-24,0.2865125607921498
2020-01-27,0.2885904303785117
2020-01-28,0.2922904319657276
2020-01-29,0.29230280620869786
2020-01-30,0.2913716373526982
2020-01-31,0.29155462597534143
2020-02-03,0.29094538889114924
2020-02-04,0.29503685729125173
2020-02-05,0.28621956274696153
2020-02-06,0.29059577321580726
2020-02-07,0.2914390074040745
2020-02-10,0.2937890138770884
2020-02-11,0.2925446602109996
2020-02-12,0.28955886132560493
2020-02-13,0.2887040014550037
2020-02-14,0.274215503041352
2020-02-18,0.2743492504154394
2020-02-19,0.26845402399503987
2020-02-20,0.26617521366120067
2020-02-21,0.261308979546261
2020-02-24,0.262092338799162
2020-02-25,0.2751370948811838
2020-02-26,0.2769656254477903
2020-02-27,0.2773157491312793
2020-02-28,0.28721661163739404
2020-03-02,0.2857139494264079
2020-03-03,0.29036774486505884
2020-03-04,0.29653849866646537
2020-03-05,0.30253647784605275
2020-03-06,0.31638326639813064
2020-03-09,0.3150785275706591
2020-03-10,0.4507337647014497
2020-03-11,0.4517767463311247
2020-03-12,0.47118911127669605
2020-03-13,0.5291188288177358
2020-03-16,0.5460883647838388
2020-03-17,0.5999313871574207
2020-03-18,0.5741428357075616
2020-03-19,0.5913657752168967
2020-03-20,0.5982651666068591
2020-03-23,0.5901708763760956
2020-03-24,0.5803549239891436
2020-03-25,0.5904665885601881
2020-03-26,0.583807433287931
2020-03-27,0.5808971812172374
2020-03-30,0.5806466482186278
2020-03-31,0.5771816057561254
2020-04-01,0.5739637337908141
2020-04-02,0.5809199168304192
2020-04-03,0.5774756716501237
2020-04-06,0.574905386281075
2020-04-07,0.5826847551841843
2020-04-08,0.5808092669285088
2020-04-09,0.5827939724251745
2020-04-13,0.5818881365790749
2020-04-14,0.5805837334241357
2020-04-15,0.5789273317159169
2020-04-16,0.580675843771586
2020-04-17,0.5787782938032293
2020-04-20,0.5809484784737723
2020-04-21,0.579969883978859
2020-04-22,0.5795992711906075
2020-04-23,0.5781696540788158
2020-04-24,0.5765175707066734
2020-04-27,0.5764800057636548
2020-04-28,0.5781953666537483
2020-04-29,0.578021577468224
2020-04-30,0.5803784638849686
2020-05-01,0.5799489014546783
2020-05-04,0.5848276238706928
2020-05-05,0.5849280694880988
2020-05-06,0.5835515929412524
2020-05-07,0.5829302560732104
2020-05-08,0.5832204475266798
2020-05-11,0.5848989376722936
2020-05-12,0.5854118313318021
2020-05-13,0.5859506658952789
2020-05-14,0.5869122403825986
2020-05-15,0.5862884384259226
2020-05-18,0.585742179838965
2020-05-19,0.5915227853672398
2020-05-20,0.5911318215640569
2020-05-21,0.5916259052718603
2020-05-22,0.5909205976063012
2020-05-26,0.5907102976762081
2020-05-27,0.5915971042735682
2020-05-28,0.5920087184706335
2020-05-29,0.5911787289595115
2020-06-01,0.5907760938267372
2020-06-02,0.5956527085568136
2020-06-03,0.59514201549912
2020-06-04,0.5951308113329272
2020-06-05,0.5940774350777809
2020-06-08,0.5931062868855084
2020-06-09,0.5902536524903663
2020-06-10,0.5901273160088207
2020-06-11,0.5908454411683599
2020-06-12,0.5983945709493523
2020-06-15,0.5994340542770366
2020-06-16,0.5994151166770687
2020-06-17,0.5998195433607512
2020-06-18,0.5998977020830853
2020-06-19,0.5996531933894389
2020-06-22,0.5991631045542392
2020-06-23,0.5988362438513836
2020-06-24,0.598585745448901
2020-06-25,0.6001642569378394
2020-06-26,0.5974095368293318
2020-06-29,0.5978437657964587
2020-06-30,0.5984074921829592
2020-07-01,0.5985525922340048
2020-07-02,0.5975405912135984
2020-07-06,0.5977368203544219
2020-07-07,0.5976607872620484
2020-07-08,0.5980087877045953
2020-07-09,0.5977773197102255
2020-07-10,0.5980309649643039
2020-07-13,0.598248891902606
2020-07-14,0.5978137431301499
2020-07-15,0.597608511026456
2020-07-16,0.5988826136484167
2020-07-17,0.5987779305855941
2020-07-20,0.5984457298142173
2020-07-21,0.5982480841800785
2020-07-22,0.597954786995822
2020-07-23,0.5975846114451485
2020-07-24,0.5972624930548068
2020-07-27,0.5970728013647711
2020-07-28,0.5964812301687117
2020-07-29,0.595995876853884
2020-07-30,0.5970281677253692
2020-07-31,0.596259263095976
2020-08-03,0.5955138765010859
2020-08-04,0.5978216532415632
2020-08-05,0.5975276283206182
2020-08-06,0.5974528358599345
2020-08-07,0.5971677465174843
2020-08-10,0.5968987636942864
2020-08-11,0.5971456540605157
2020-08-12,0.59676382263863
2020-08-13,0.5963645407773048
2020-08-14,0.5964127553336454
2020-08-17,0.5967400118286752
2020-08-18,0.5967924981005354
2020-08-19,0.5970672893220216
2020-08-20,0.5981134355351171
2020-08-21,0.598306686631777
2020-08-24,0.5976437897970195
2020-08-25,0.597495505561219
2020-08-26,0.5980563463945002
2020-08-27,0.5969975627056389
2020-08-28,0.5977086258754322
2020-08-31,0.5978698199311674
